Run: 63, exploration: 0.38563646013425196, score: 0, Q_value: 4.1176581382751465, Reward : -5.700000762939453
Run: 64, exploration: 0.38375136946756283, score: 0, Q_value: 4.046585559844971, Reward : -6.90000057220459
Run: 65, exploration: 0.381875493611165, score: 0, Q_value: 4.084896564483643, Reward : -8.700000762939453
Run: 66, exploration: 0.380008787520685, score: 0, Q_value: 4.076990604400635, Reward : -8.100000381469727
Run: 67, exploration: 0.3781512063719374, score: 0, Q_value: 4.096828460693359, Reward : -6.30000114440918
Run: 68, exploration: 0.3763027055598491, score: 0, Q_value: 4.033270835876465, Reward : -7.500000953674316
Run: 69, exploration: 0.3744632406973881, score: 0, Q_value: 4.069025993347168, Reward : -8.100000381469727
Run: 70, exploration: 0.37263276761449804, score: 0, Q_value: 4.17480993270874, Reward : -8.700000762939453
Run: 71, exploration: 0.3708112423570361, score: 0, Q_value: 4.01501989364624, Reward : -6.30000114440918
Run: 72, exploration: 0.3689986211857199, score: 0, Q_value: 4.239846706390381, Reward : -6.30000114440918
Run: 73, exploration: 0.36719486057507594, score: 0, Q_value: 4.029921054840088, Reward : -8.100000381469727
Run: 74, exploration: 0.3653999172123937, score: 0, Q_value: 4.040813446044922, Reward : -8.700000762939453
Run: 75, exploration: 0.36361374799668655, score: 0, Q_value: 4.216545581817627, Reward : -7.500000953674316
Run: 76, exploration: 0.36183631003765704, score: 0, Q_value: 4.323825359344482, Reward : -5.100001335144043
Run: 77, exploration: 0.3600675606546662, score: 0, Q_value: 4.004665374755859, Reward : -7.500000953674316
Run: 78, exploration: 0.358307457375709, score: 0, Q_value: 4.10623836517334, Reward : -6.90000057220459
Run: 79, exploration: 0.35655595793639516, score: 0, Q_value: 4.109555244445801, Reward : -6.30000114440918
Run: 80, exploration: 0.3548130202789331, score: 0, Q_value: 4.004817008972168, Reward : -7.500000953674316
Run: 81, exploration: 0.3530786025511207, score: 0, Q_value: 4.07882022857666, Reward : -7.500000953674316
Run: 82, exploration: 0.3513526631053404, score: 0, Q_value: 4.02081823348999, Reward : -6.90000057220459
Run: 83, exploration: 0.34963516049755866, score: 0, Q_value: 4.159942150115967, Reward : -8.100000381469727
Run: 84, exploration: 0.34792605348633143, score: 0, Q_value: 4.182372570037842, Reward : -7.500000953674316
Run: 85, exploration: 0.3462253010318131, score: 0, Q_value: 4.0135087966918945, Reward : -8.700000762939453
Run: 86, exploration: 0.3445328622947717, score: 0, Q_value: 4.036423206329346, Reward : -8.100000381469727
Run: 87, exploration: 0.342848696635608, score: 0, Q_value: 4.042789459228516, Reward : -8.100000381469727
Run: 88, exploration: 0.3411727636133794, score: 0, Q_value: 3.921342372894287, Reward : -7.500000953674316
Run: 89, exploration: 0.3395050229848293, score: 0, Q_value: 3.988790988922119, Reward : -8.100000381469727
Run: 90, exploration: 0.33784543470342027, score: 0, Q_value: 4.183468341827393, Reward : -8.100000381469727
Run: 91, exploration: 0.3361939589183732, score: 0, Q_value: 4.039978981018066, Reward : -8.100000381469727
